,default,data_uid,duration_in_month,credit_amount,Balance,Payment_Delay,installment_as_income_perc,age,States,Zipcode,Date,GDP,purpose_da,purpose_car,purpose_rep,purpose_bns,purpose_vac,purpose_edu,personal_status_sex_male,personal_status_sex_female,other_debtors_gnt,savings_.. >= 1000 DM ,savings_... < 100 DM,savings_100 <= ... < 500 DM,savings_500 <= ... < 1000 DM ,savings_unknown/ no savings account,present_emp_since_.. >= 7 years,present_emp_since_... < 1 year ,present_emp_since_1 <= ... < 4 years,present_emp_since_4 <= ... < 7 years,present_emp_since_unemployed,property_if not A121 : building society savings agreement/ life insurance,"property_if not A121/A122 : car or other, not in attribute 6",property_real estate,property_unknown / no property,other_installment_plans_bank,other_installment_plans_none,other_installment_plans_stores,housing_for free,housing_own,housing_rent,job_management/ self-employed/ highly qualified employee/ officer,job_skilled employee / official,job_unemployed/ unskilled - non-resident,job_unskilled - resident,foreign_worker_no,foreign_worker_yes
832,1,prj01-ds01-raw-0000833,45,11816,6499,5,2,29,Kansas,66104,12/20/2012,0.83,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
262,0,prj01-ds01-raw-0000263,18,5302,2810,0,2,36,Delaware,19706,11/22/2012,0.38,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
897,0,prj01-ds01-raw-0000898,12,1592,844,1,3,35,New Jersey,7002,5/5/2016,3.15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
112,0,prj01-ds01-raw-0000113,18,6260,3005,0,3,28,Georgia,30002,11/19/2015,2.85,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
606,0,prj01-ds01-raw-0000607,24,4526,2399,1,3,74,Vermont,5001,3/3/2011,0.17,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
772,0,prj01-ds01-raw-0000773,21,3275,1736,2,1,36,Delaware,19706,2/14/2010,0.38,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
591,0,prj01-ds01-raw-0000592,24,1965,786,3,4,42,New Jersey,7002,2/25/2016,3.15,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
76,1,prj01-ds01-raw-0000077,42,3965,2144,5,4,34,Missouri,63102,7/16/2014,1.63,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
11,1,prj01-ds01-raw-0000012,48,4308,1939,5,3,24,Hawaii,96701,9/7/2012,0.45,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
152,0,prj01-ds01-raw-0000153,36,5848,2807,1,4,24,Wyoming,82601,7/2/2010,0.21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
35,1,prj01-ds01-raw-0000036,45,4746,2610,5,4,25,Ohio,43002,6/10/2014,3.39,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
521,1,prj01-ds01-raw-0000522,18,3190,1755,2,2,24,Hawaii,96701,11/25/2010,0.45,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
341,0,prj01-ds01-raw-0000342,21,3599,1728,0,1,26,Ohio,43002,9/10/2011,3.39,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
753,0,prj01-ds01-raw-0000754,30,5771,3059,2,4,25,Rhode Island,2801,2/13/2010,0.31,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
792,0,prj01-ds01-raw-0000793,6,1221,647,0,1,27,Nebraska,68001,8/16/2011,0.62,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
755,1,prj01-ds01-raw-0000756,24,1285,707,3,4,32,South Dakota,57117,1/28/2012,0.26,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
848,0,prj01-ds01-raw-0000849,9,1364,655,0,3,59,New York,10001,11/1/2015,8.06,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
365,0,prj01-ds01-raw-0000366,12,1542,740,0,2,36,District of Columbia,20001,1/26/2012,0.69,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
147,0,prj01-ds01-raw-0000148,12,682,361,1,4,51,Vermont,5001,1/20/2013,0.17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
229,0,prj01-ds01-raw-0000230,24,3149,1512,0,4,22,Missouri,63102,3/21/2014,1.63,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
780,1,prj01-ds01-raw-0000781,39,4933,2713,4,2,25,Iowa,50001,9/14/2016,0.97,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
923,0,prj01-ds01-raw-0000924,12,2002,961,0,3,30,Colorado,80019,10/28/2010,1.75,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
602,1,prj01-ds01-raw-0000603,24,1837,1010,3,4,34,South Dakota,57117,8/20/2016,0.26,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
134,0,prj01-ds01-raw-0000135,60,10144,4869,0,2,21,New York,10001,2/28/2010,8.06,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
866,0,prj01-ds01-raw-0000867,18,2389,1147,0,4,27,Wyoming,82601,1/12/2014,0.21,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
241,0,prj01-ds01-raw-0000242,6,1595,766,0,3,51,Oregon,97201,6/10/2013,1.23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
290,0,prj01-ds01-raw-0000291,12,1076,516,1,2,26,Ohio,43002,4/11/2011,3.39,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
968,0,prj01-ds01-raw-0000969,42,7166,3440,0,2,29,Wyoming,82601,7/7/2013,0.21,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
124,1,prj01-ds01-raw-0000125,18,1924,1283,2,4,27,Michigan,48002,5/17/2011,2.64,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
736,1,prj01-ds01-raw-0000737,24,11560,6358,3,1,23,Michigan,48002,9/6/2013,2.64,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
496,1,prj01-ds01-raw-0000497,36,9034,4969,4,4,29,Oregon,97201,2/22/2011,1.23,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
292,0,prj01-ds01-raw-0000293,24,6419,3402,1,2,44,Oregon,97201,4/10/2010,1.23,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
927,1,prj01-ds01-raw-0000928,48,10297,5663,4,4,39,Florida,32004,4/8/2010,5.02,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
435,1,prj01-ds01-raw-0000436,12,1484,816,1,2,25,Nebraska,68001,3/24/2016,0.62,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
428,0,prj01-ds01-raw-0000429,9,1313,630,0,1,20,Maryland,20601,7/2/2015,2.05,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
795,0,prj01-ds01-raw-0000796,9,2301,1104,0,2,22,New Jersey,7002,4/23/2012,3.15,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
33,0,prj01-ds01-raw-0000034,12,1264,670,1,4,57,North Carolina,27007,10/22/2010,2.81,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
570,1,prj01-ds01-raw-0000571,24,3234,1779,3,4,23,Florida,32004,2/13/2015,5.02,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
278,1,prj01-ds01-raw-0000279,6,4611,2409,0,1,32,Minnesota,55001,3/7/2011,1.82,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
963,1,prj01-ds01-raw-0000964,24,2397,1318,3,3,35,Vermont,5001,1/7/2010,0.17,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
213,1,prj01-ds01-raw-0000214,30,1908,1145,3,4,66,Florida,32004,5/28/2015,5.02,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
906,0,prj01-ds01-raw-0000907,21,3763,1806,1,2,24,Rhode Island,2801,4/20/2010,0.31,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
310,0,prj01-ds01-raw-0000311,48,5381,2583,0,3,40,California,90001,2/3/2010,14.1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
604,0,prj01-ds01-raw-0000605,10,1275,612,0,4,23,Texas,73301,1/7/2013,8.76,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
493,0,prj01-ds01-raw-0000494,6,368,177,0,4,38,North Dakota,58103,5/6/2014,0.28,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
461,0,prj01-ds01-raw-0000462,15,1721,826,0,2,36,Arizona,85001,5/7/2013,1.64,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
157,0,prj01-ds01-raw-0000158,12,339,153,0,4,45,California,90001,7/18/2011,14.1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
989,0,prj01-ds01-raw-0000990,24,1743,924,2,4,48,Maryland,20601,10/21/2012,2.05,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
93,0,prj01-ds01-raw-0000094,24,3617,1917,2,4,20,Tennessee,37010,6/24/2011,1.78,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
385,0,prj01-ds01-raw-0000386,18,2238,1186,1,2,25,Nevada,89001,8/15/2016,0.8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
178,0,prj01-ds01-raw-0000179,12,1963,942,0,4,31,Missouri,63102,4/3/2013,1.63,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
133,0,prj01-ds01-raw-0000134,18,1984,952,0,4,47,New Mexico,87001,4/22/2016,0.51,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
757,1,prj01-ds01-raw-0000758,15,1271,699,3,3,39,Texas,73301,4/17/2012,8.76,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
3,0,prj01-ds01-raw-0000004,42,7882,3783,0,2,45,Arkansas,71630,10/5/2016,0.65,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
279,0,prj01-ds01-raw-0000280,24,1901,912,0,4,29,Mississippi,38601,7/1/2016,0.58,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
449,1,prj01-ds01-raw-0000450,15,1512,907,2,3,61,South Dakota,57117,7/27/2015,0.26,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
216,0,prj01-ds01-raw-0000217,18,3104,1397,0,3,31,Idaho,83201,10/11/2011,0.36,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
386,0,prj01-ds01-raw-0000387,18,1126,540,0,4,21,New Hampshire,3031,9/22/2015,0.42,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
895,0,prj01-ds01-raw-0000896,36,8947,3579,4,3,31,Nevada,89001,12/17/2011,0.8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
677,1,prj01-ds01-raw-0000678,72,5595,3077,5,2,24,Indiana,46001,6/16/2010,1.85,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
480,0,prj01-ds01-raw-0000481,12,3573,1894,1,1,23,Massachusetts,1001,4/28/2010,2.75,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
457,1,prj01-ds01-raw-0000458,12,3386,1862,1,3,35,Wisconsin,53001,2/20/2016,1.68,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
583,1,prj01-ds01-raw-0000584,36,2384,1311,3,4,33,Michigan,48002,7/27/2011,2.64,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
81,0,prj01-ds01-raw-0000082,15,1213,582,0,4,47,New Jersey,7002,8/8/2010,3.15,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
726,0,prj01-ds01-raw-0000727,15,1316,697,0,2,47,Idaho,83201,5/19/2015,0.36,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
573,0,prj01-ds01-raw-0000574,15,806,387,0,4,22,Idaho,83201,6/18/2010,0.36,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
477,0,prj01-ds01-raw-0000478,24,5152,2473,0,4,25,Louisiana,70001,10/23/2015,1.27,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
563,1,prj01-ds01-raw-0000564,36,12389,6814,4,1,37,Arizona,85001,9/1/2015,1.64,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
723,0,prj01-ds01-raw-0000724,9,790,379,0,4,66,Florida,32004,2/20/2015,5.02,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
821,0,prj01-ds01-raw-0000822,12,3016,1448,0,3,24,Colorado,80019,11/24/2016,1.75,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
741,0,prj01-ds01-raw-0000742,10,1048,472,0,4,23,Nebraska,68001,1/28/2016,0.62,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
270,0,prj01-ds01-raw-0000271,18,2662,1278,0,4,32,Iowa,50001,7/14/2010,0.97,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
195,1,prj01-ds01-raw-0000196,9,1501,826,2,2,34,Tennessee,37010,8/16/2012,1.78,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
102,0,prj01-ds01-raw-0000103,6,1932,773,1,3,24,Alabama,35007,8/26/2014,1.11,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
240,1,prj01-ds01-raw-0000241,24,915,648,3,4,29,Oklahoma,73001,4/28/2013,0.99,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
617,0,prj01-ds01-raw-0000618,6,3676,1948,0,1,37,Colorado,80019,5/20/2014,1.75,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
934,0,prj01-ds01-raw-0000935,12,1498,719,0,4,23,Kansas,66104,5/28/2016,0.83,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
980,1,prj01-ds01-raw-0000981,30,8386,4612,4,2,49,Hawaii,96701,3/27/2011,0.45,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
283,0,prj01-ds01-raw-0000284,15,1520,806,1,4,63,Nevada,89001,3/13/2015,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
228,1,prj01-ds01-raw-0000229,9,1478,778,0,4,22,Mississippi,38601,2/21/2016,0.58,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
109,0,prj01-ds01-raw-0000110,14,1410,677,0,1,35,Delaware,19706,2/16/2011,0.38,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
589,1,prj01-ds01-raw-0000590,12,2246,1235,3,3,60,Nevada,89001,3/14/2011,0.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
538,1,prj01-ds01-raw-0000539,48,7763,4270,5,4,42,Nevada,89001,6/28/2010,0.8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
931,1,prj01-ds01-raw-0000932,9,1670,919,2,4,22,Illinois,60002,7/1/2012,4.29,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
381,1,prj01-ds01-raw-0000382,18,11115,6113,2,3,38,Mississippi,38601,10/11/2014,0.58,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
40,0,prj01-ds01-raw-0000041,30,2333,1120,0,4,30,South Carolina,29401,12/9/2014,1.14,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
233,0,prj01-ds01-raw-0000234,18,866,416,0,4,25,New Hampshire,3031,4/23/2012,0.42,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
548,1,prj01-ds01-raw-0000549,12,626,344,1,4,24,Pennsylvania,15005,1/3/2013,3.93,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
533,0,prj01-ds01-raw-0000534,24,1311,629,0,4,26,Minnesota,55001,8/23/2013,1.82,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
645,1,prj01-ds01-raw-0000646,36,7980,4788,4,4,27,North Carolina,27007,5/16/2016,2.81,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
909,0,prj01-ds01-raw-0000910,9,3195,1534,0,1,33,Tennessee,37010,9/21/2012,1.78,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
624,1,prj01-ds01-raw-0000625,18,2600,1430,2,4,65,Idaho,83201,12/25/2015,0.36,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
610,1,prj01-ds01-raw-0000611,12,741,408,2,4,22,Wisconsin,53001,5/12/2015,1.68,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
574,0,prj01-ds01-raw-0000575,9,1082,519,0,4,27,Illinois,60002,12/28/2012,4.29,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
519,0,prj01-ds01-raw-0000520,6,700,371,0,4,36,Florida,32004,8/30/2014,5.02,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
268,1,prj01-ds01-raw-0000269,14,8978,6698,1,1,45,Illinois,60002,12/31/2011,4.29,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
57,0,prj01-ds01-raw-0000058,36,9566,5070,2,2,31,Connecticut,6001,4/17/2011,1.43,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
294,0,prj01-ds01-raw-0000295,48,7629,4043,3,4,46,Rhode Island,2801,9/2/2013,0.31,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
46,0,prj01-ds01-raw-0000047,36,2299,1104,0,4,39,Virginia,20103,10/3/2016,2.68,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
913,0,prj01-ds01-raw-0000914,11,2142,1028,0,1,28,Virginia,20103,2/15/2012,2.68,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
655,0,prj01-ds01-raw-0000656,14,3973,1907,1,1,22,Texas,73301,9/27/2014,8.76,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
716,0,prj01-ds01-raw-0000717,30,3077,1631,2,3,40,Arizona,85001,6/1/2016,1.64,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
409,1,prj01-ds01-raw-0000410,12,939,516,3,4,28,Alaska,99501,11/10/2012,0.27,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
330,0,prj01-ds01-raw-0000331,24,6615,3506,1,2,75,Mississippi,38601,4/12/2014,0.58,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
545,1,prj01-ds01-raw-0000546,24,1333,800,3,4,43,Ohio,43002,7/10/2014,3.39,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
159,0,prj01-ds01-raw-0000160,6,1898,1006,0,1,34,Connecticut,6001,1/30/2011,1.43,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
487,0,prj01-ds01-raw-0000488,24,3757,1803,0,4,62,Nevada,89001,10/8/2012,0.8,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
761,1,prj01-ds01-raw-0000762,18,2124,1168,3,4,24,Washington,98001,8/21/2015,2.55,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
498,0,prj01-ds01-raw-0000499,18,1301,624,0,4,32,Rhode Island,2801,4/27/2010,0.31,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
636,0,prj01-ds01-raw-0000637,24,1376,660,0,4,28,Mississippi,38601,3/22/2014,0.58,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
113,1,prj01-ds01-raw-0000114,36,7855,4320,4,4,25,Hawaii,96701,2/10/2010,0.45,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
